Filepath,File Name,Sample Type,Method,Batch
RPneg/HEU_Batch4_Sample1_RP_neg_SZ_07072023_018.mzML,HEU_Batch4_Sample1_RP_neg_SZ_07072023_018.mzML,Unknown,RPneg,4
RPneg/Batch2_HEU159_B_RP_neg.mzML,Batch2_HEU159_B_RP_neg.mzML,Unknown,RPneg,2
RPneg/HEU_Batch4_Sample51_RP_neg_SZ_07072023_128.mzML,HEU_Batch4_Sample51_RP_neg_SZ_07072023_128.mzML,Unknown,RPneg,4
RPneg/HEU_Batch6_Qstd_RP_neg_2_SZ_07172023_146.mzML,HEU_Batch6_Qstd_RP_neg_2_SZ_07172023_146.mzML,Qstd,RPneg,6
RPneg/HEU_Batch4_Sample32_RP_neg_SZ_07072023_086.mzML,HEU_Batch4_Sample32_RP_neg_SZ_07072023_086.mzML,Unknown,RPneg,4
RPneg/HEU_Batch1_Sample31_RP_neg_SZ_07272023_084.mzML,HEU_Batch1_Sample31_RP_neg_SZ_07272023_084.mzML,Unknown,RPneg,1
RPneg/HEU_Batch1_Pool_QC_Injection2uL_RP_neg_1_SZ_07272023_014.mzML,HEU_Batch1_Pool_QC_Injection2uL_RP_neg_1_SZ_07272023_014.mzML,QC,RPneg,1
RPneg/HEU_Batch4_Sample42_RP_neg_SZ_07072023_108.mzML,HEU_Batch4_Sample42_RP_neg_SZ_07072023_108.mzML,Unknown,RPneg,4
RPneg/HEU_Batch8_Sample15_RP_neg_SZ_07242023_048.mzML,HEU_Batch8_Sample15_RP_neg_SZ_07242023_048.mzML,Unknown,RPneg,8
RPneg/HEU_Batch3_Sample24_RP_neg_SZ_07302023_068.mzML,HEU_Batch3_Sample24_RP_neg_SZ_07302023_068.mzML,Unknown,RPneg,3
RPneg/HEU_Batch7_Sample6_RP_neg_SZ_07202023_028.mzML,HEU_Batch7_Sample6_RP_neg_SZ_07202023_028.mzML,Unknown,RPneg,7
RPneg/HEU_Batch3_Sample6_RP_neg_SZ_07302023_028.mzML,HEU_Batch3_Sample6_RP_neg_SZ_07302023_028.mzML,Unknown,RPneg,3
RPneg/HEU_Batch7_NIST_RP_neg_2_SZ_07202023_146.mzML,HEU_Batch7_NIST_RP_neg_2_SZ_07202023_146.mzML,NIST,RPneg,7
RPneg/HEU_Batch1_Sample20_RP_neg_SZ_07272023_058.mzML,HEU_Batch1_Sample20_RP_neg_SZ_07272023_058.mzML,Unknown,RPneg,1
RPneg/HEU_Batch5_Sample19_RP_neg_SZ_07132023_056.mzML,HEU_Batch5_Sample19_RP_neg_SZ_07132023_056.mzML,Unknown,RPneg,5
RPneg/Batch2_HEU027_B_RP_neg.mzML,Batch2_HEU027_B_RP_neg.mzML,Unknown,RPneg,2
RPneg/HEU_Batch5_Sample3_RP_neg_SZ_07132023_022.mzML,HEU_Batch5_Sample3_RP_neg_SZ_07132023_022.mzML,Unknown,RPneg,5
RPneg/HEU_Batch6_Sample19_RP_neg_SZ_07172023_056.mzML,HEU_Batch6_Sample19_RP_neg_SZ_07172023_056.mzML,Unknown,RPneg,6
RPneg/HEU_Batch3_Sample31_RP_neg_SZ_07302023_084.mzML,HEU_Batch3_Sample31_RP_neg_SZ_07302023_084.mzML,Unknown,RPneg,3
RPneg/HEU_Batch6_Sample42_RP_neg_SZ_07172023_108.mzML,HEU_Batch6_Sample42_RP_neg_SZ_07172023_108.mzML,Unknown,RPneg,6
RPneg/HEU_Batch5_Sample42_RP_neg_SZ_07132023_108.mzML,HEU_Batch5_Sample42_RP_neg_SZ_07132023_108.mzML,Unknown,RPneg,5
RPneg/HEU_Batch5_Qstd_RP_neg_2_SZ_07132023_146.mzML,HEU_Batch5_Qstd_RP_neg_2_SZ_07132023_146.mzML,Qstd,RPneg,5
RPneg/HEU_Batch6_Sample32_RP_neg_SZ_07172023_086.mzML,HEU_Batch6_Sample32_RP_neg_SZ_07172023_086.mzML,Unknown,RPneg,6
RPneg/Batch2_HEU133_M_RP_neg.mzML,Batch2_HEU133_M_RP_neg.mzML,Unknown,RPneg,2
